,año,codigo_comuna,cantidad
303,2017,5,160
304,2017,50,6
305,2017,6,47
306,2017,60,31
307,2017,7,84
308,2017,70,6
309,2017,8,85
310,2017,80,14
311,2017,9,53
312,2017,90,7
313,2018,1,68
314,2018,10,169
315,2018,11,98
316,2018,12,33
317,2018,13,56
318,2018,14,40
319,2018,15,23
320,2018,16,34
321,2018,2,67
322,2018,3,129
323,2018,4,195
324,2018,5,139
325,2018,50,5
326,2018,6,45
327,2018,60,51
328,2018,7,55
329,2018,70,5
330,2018,8,63
331,2018,80,16
332,2018,9,69
333,2018,90,2
334,2019,1,70
335,2019,10,160
336,2019,11,74
337,2019,12,33
338,2019,13,55
339,2019,14,60
340,2019,15,35
341,2019,16,69
342,2019,2,55
343,2019,3,139
344,2019,4,212
345,2019,5,308
346,2019,50,8
347,2019,6,36
348,2019,60,42
349,2019,7,72
350,2019,70,4
351,2019,8,65
352,2019,80,21
353,2019,9,102
354,2019,90,5
355,2020,1,25
356,2020,10,101
357,2020,11,44
358,2020,12,28
359,2020,13,24
360,2020,14,19
361,2020,15,19
362,2020,16,46
363,2020,2,38
364,2020,3,72
365,2020,4,86
366,2020,5,138
367,2020,6,4
368,2020,60,7
369,2020,7,27
370,2020,70,4
371,2020,8,54
372,2020,80,10
373,2020,9,30
374,2020,90,5
